Time,S11_chiptemp,S12_chiptemp,S13_chiptemp,S14_chiptemp,S15_chiptemp,S16_chiptemp,S17_chiptemp,S18_chiptemp,S21_chiptemp,S22_chiptemp,S23_chiptemp,S24_chiptemp,S25_chiptemp,S26_chiptemp,S27_chiptemp,S28_chiptemp,S31_chiptemp,S32_chiptemp,S33_chiptemp,S34_chiptemp,S35_chiptemp,S36_chiptemp,S37_chiptemp,S38_chiptemp,S11_minerfans,S12_minerfans,S13_minerfans,S14_minerfans,S16_minerfans,S15_minerfans,S17_minerfans,S18_minerfans,S21_minerfans,S22_minerfans,S23_minerfans,S24_minerfans,S25_minerfans,S26_minerfans,S27_minerfans,S28_minerfans,S31_minerfans,S32_minerfans,S33_minerfans,S34_minerfans,S35_minerfans,S36_minerfans,S37_minerfans,S38_minerfans,S11_intake,S12_intake,S13_intake,S14_intake,S15_intake,S16_intake,S17_intake,S18_intake
2/1/2024 0:00,62,62,60,62,62.2,62,62,62.3,59,59,59,59,0,0,0,0,,,,,,,,,3020.3,2970.1,3371.6,2920.6,3146.1,3065,3177,4046.7,3926.7,3576.7,3817.6,4400.5,0,0,0,0,,,,,,,,,8.9,11.8,14.6,10.5,10.8,10.7,13.4,14.9
2/1/2024 0:10,62,62,60.5,62,63,62,62,62.8,59,59,59,59,0,0,0,0,,,,,,,,,3054.2,2990,3408.2,2934.2,3180.8,3079.8,3215,4144.9,3959.3,3598.5,3788.2,4435.9,0,0,0,0,,,,,,,,,9.4,12,14.7,10.9,11.2,11.2,13.5,14.9
2/1/2024 0:20,62,62,60.1,62,62.8,62,62,62.5,59,59,59,59,0,0,0,0,,,,,,,,,3056.9,2998.4,3444.6,2934.9,3185.9,3081.6,3212,4139.1,3955.4,3601.3,3798.2,4452.5,0,0,0,0,,,,,,,,,9.2,12.1,14.7,10.7,11,11.1,13.5,14.9
2/1/2024 0:30,62,62,60,62,62,62,62,62.1,59,59,59,59,0,0,0,0,,,,,,,,,3042.6,2983.1,3423.1,2925.4,3164.8,3066.8,3205,4087.9,3940.4,3580.8,3776.4,4389.9,0,0,0,0,,,,,,,,,8.9,11.9,14.7,10.5,10.7,10.8,13.4,14.9
2/1/2024 0:40,63,62,60,62,62,62,62,62,59,59,59,59,0,0,0,0,,,,,,,,,3082.7,2966.6,3364.1,2916.9,3136.6,3052.8,3191,3985.5,3922.2,3562.6,3771.3,4377.6,0,0,0,0,,,,,,,,,8.9,11.6,14.5,10.4,10.5,10.5,13.3,14.8
2/1/2024 0:50,64,62,60,62,62,62,62,62.1,59,59,59,59,0,0,0,0,,,,,,,,,3120.6,2943,3264.2,2913.2,3131.4,3048.6,3137,3944.8,3919,3559.3,3807.2,4356.4,0,0,0,0,,,,,,,,,8.8,11.3,14.2,10.3,10.4,10.3,13.2,14.8
2/1/2024 1:00,65,62,60,62,62.1,62,62,62.2,59,59,59,59,0,0,0,0,,,,,,,,,3176.7,2937.1,3175,2920.5,3118.3,3050,3101,3956.2,3929.6,3565.9,3802.5,4322.7,0,0,0,0,,,,,,,,,8.9,11.1,13.7,10.3,10.3,10.1,13.2,14.9
2/1/2024 1:10,66,62,60,62,62.9,62,62,62.6,59,59,59,58.9,0,0,0,0,,,,,,,,,3241.7,2941.5,3103.1,2932.7,3127.9,3062.7,3113,3970.1,3941.6,3566.5,3782.4,4343.2,0,0,0,0,,,,,,,,,9.1,11.2,13.2,10.4,10.6,10.4,13.2,14.9
2/1/2024 1:20,67,62,60,62,62,62,62,62.1,59,59,59,58.9,0,0,0,0,,,,,,,,,3203.5,2928.6,3080.8,2926.5,3110.4,3052.4,3129,3980.3,3908.1,3534.6,3758.1,4348.4,0,0,0,0,,,,,,,,,8.9,11,13,10.3,10.4,10.2,13.2,14.8
2/1/2024 1:30,68,62,60,62,62.4,62,62,62,59,59,59,59,0,0,0,0,,,,,,,,,3207.7,2943.3,3091,2939.1,3108.3,3054.3,3053,3856.9,3936,3552.9,3779.2,4417.5,0,0,0,0,,,,,,,,,9.3,10.9,13.1,10.5,10.5,10.4,13.1,14.8
